光谱,M型模拟物
364,0.8899948
365,0.896135906
366,0.900880098
367,0.869164534
368,0.888656086
369,0.901288692
370,0.8801119
371,0.8806363
372,0.881211862
373,0.886396772
374,0.899623382
375,0.890732371
376,0.896736651
377,0.910568765
378,0.897404719
379,0.901033284
380,0.908035898
381,0.907804583
382,0.908262851
383,0.908850012
384,0.905811782
385,0.897874091
386,0.898521933
387,0.899361528
388,0.900372454
389,0.907357717
390,0.910560734
391,0.908657068
392,0.905286291
393,0.911050828
394,0.913619587
395,0.913044521
396,0.912795359
397,0.912547585
398,0.91307268
399,0.912374173
400,0.90714762
401,0.909030662
402,0.913146348
403,0.914417739
404,0.911691333
405,0.916799601
406,0.922146918
407,0.918043825
408,0.921348569
409,0.923458068
410,0.921698169
411,0.92015273
412,0.924760493
413,0.927085443
414,0.923260364
415,0.92615235
416,0.927213346
417,0.926040708
418,0.925333674
419,0.924798963
420,0.925777169
421,0.928066029
422,0.929693564
423,0.93021846
424,0.930784404
425,0.932089308
426,0.932088812
427,0.93398633
428,0.936353419
429,0.936023649
430,0.937521596
431,0.938783568
432,0.938806967
433,0.939084188
434,0.940137748
435,0.941329423
436,0.941762606
437,0.940870164
438,0.942387841
439,0.944881346
440,0.943680252
441,0.945246711
442,0.947261919
443,0.947587228
444,0.946920449
445,0.94726767
446,0.947984915
447,0.947991261
448,0.949950252
449,0.951284206
450,0.951039406
451,0.95031175
452,0.95100173
453,0.95216485
454,0.952604477
455,0.952262313
456,0.95290718
457,0.953939125
458,0.953767201
459,0.953673009
460,0.953857823
461,0.954399475
462,0.955381549
463,0.954970674
464,0.954374886
465,0.955051877
466,0.955743443
467,0.955916756
468,0.95570884
469,0.955810369
470,0.956909637
471,0.957976185
472,0.95827284
473,0.958159512
474,0.958010094
475,0.958593687
476,0.960253148
477,0.960303912
478,0.960064566
479,0.960376291
480,0.961234527
481,0.961974478
482,0.962658112
483,0.963378233
484,0.963825495
485,0.963348984
486,0.962766482
487,0.963547084
488,0.965218146
489,0.966070234
490,0.965875109
491,0.967135494
492,0.967526043
493,0.967662571
494,0.968622237
495,0.968754601
496,0.969403335
497,0.970637148
498,0.971312949
499,0.971867491
500,0.972470715
501,0.972956546
502,0.9721695
503,0.972073721
504,0.972920952
505,0.974089227
506,0.975384315
507,0.976210823
508,0.976374518
509,0.976270213
510,0.977138959
511,0.978060651
512,0.97812014
513,0.979101718
514,0.980072488
515,0.980575076
516,0.980624055
517,0.980412173
518,0.980790923
519,0.98202315
520,0.983025648
521,0.984045101
522,0.984621951
523,0.984399659
524,0.985119383
525,0.98574095
526,0.985830581
527,0.985963242
528,0.985807082
529,0.986190294
530,0.987550324
531,0.988198463
532,0.988734761
533,0.989443679
534,0.990312127
535,0.990729149
536,0.991212105
537,0.992081842
538,0.993026238
539,0.993387538
540,0.993632139
541,0.994428308
542,0.994706124
543,0.995427237
544,0.996519266
545,0.996648557
546,0.996652325
547,0.997071627
548,0.998076505
549,0.998989471
550,1
551,1.00102669
552,1.001818001
553,1.002139641
554,1.00240427
555,1.002932934
556,1.003718295
557,1.004123816
558,1.004640383
559,1.00585278
560,1.006523029
561,1.007212612
562,1.008024645
563,1.008437601
564,1.009067199
565,1.010026666
566,1.011154985
567,1.011935091
568,1.012534151
569,1.013228394
570,1.01427303
571,1.014805957
572,1.015288021
573,1.016062377
574,1.016973856
575,1.017842602
576,1.018822791
577,1.019981251
578,1.020326191
579,1.020879146
580,1.021793303
581,1.022338524
582,1.02313965
583,1.023970818
584,1.024643348
585,1.025462816
586,1.026332554
587,1.027144487
588,1.02779788
589,1.028679317
590,1.029362356
591,1.029750526
592,1.030391129
593,1.030987908
594,1.031693355
595,1.032617823
596,1.033052196
597,1.033595137
598,1.034433444
599,1.035339271
600,1.035935059
601,1.036322039
602,1.036631186
603,1.036800335
604,1.037623274
605,1.038513138
606,1.038537231
607,1.039293938
608,1.039904995
609,1.040073648
610,1.040431775
611,1.041054135
612,1.041323821
613,1.040949037
614,1.041523508
615,1.042017965
616,1.042249578
617,1.042609291
618,1.043018678
619,1.043543971
620,1.044133116
621,1.044497787
622,1.044397745
623,1.044422433
624,1.045164764
625,1.045704631
626,1.045916613
627,1.045903227
628,1.046020521
629,1.046483647
630,1.046838998
631,1.046839692
632,1.047360226
633,1.047410296
634,1.047236884
635,1.047632886
636,1.047681271
637,1.047730845
638,1.047856468
639,1.04754732
640,1.047382138
641,1.047623863
642,1.04821053
643,1.048290444
644,1.048356477
645,1.048675242
646,1.049242872
647,1.049280053
648,1.049283225
649,1.049515929
650,1.049262206
651,1.049322687
652,1.049855812
653,1.050625111
654,1.050571075
655,1.050464192
656,1.050609347
657,1.050666456
658,1.05102379
659,1.051217231
660,1.050999301
661,1.051240927
662,1.051389155
663,1.051298335
664,1.051073662
665,1.050992558
666,1.051234185
667,1.051705144
668,1.051963924
669,1.052282391
670,1.052578451
671,1.052719143
672,1.052713095
673,1.052666693
674,1.052724002
675,1.052995869
676,1.053100571
677,1.05319149
678,1.05341061
679,1.053824459
680,1.05401899
681,1.054033268
682,1.054026426
683,1.053812561
684,1.053754658
685,1.053866003
686,1.053873935
687,1.054109018
688,1.054319313
689,1.054430063
690,1.05475091
691,1.054862849
692,1.054779564
693,1.054668715
694,1.054531294
695,1.054850059
696,1.05537674
697,1.055212648
698,1.055004038
699,1.05509357
700,1.055498594
701,1.055697289
702,1.055961522
703,1.056260655
704,1.056481957
705,1.056532324
706,1.05641047
707,1.056317964
708,1.0565585
709,1.05644656
710,1.05641632
711,1.056712181
712,1.056409974
713,1.056383898
714,1.056726756
715,1.057145067
716,1.057194939
717,1.057168664
718,1.057176299
719,1.057104614
720,1.05698147
721,1.057146356
722,1.057618405
723,1.057507953
724,1.057483265
725,1.057501707
726,1.057349017
727,1.057383521
728,1.057424767
729,1.05741158
730,1.057471863
731,1.057580927
732,1.057490899
733,1.057169557
734,1.05713535
735,1.057154783
736,1.057105407
737,1.056935664
738,1.056881231
739,1.056826302
740,1.056784957
741,1.056864772
742,1.056830962
743,1.056799234
744,1.05683235
745,1.056820056
746,1.056553542
747,1.056209296
748,1.056030728
749,1.056037173
750,1.055914426
751,1.05564712
752,1.05546528
753,1.055441782
754,1.055438708
755,1.055397065
756,1.055444756
757,1.05511796
758,1.054679919
759,1.054454652
760,1.054379695
761,1.054280843
762,1.054169399
763,1.054122799
764,1.053896937
765,1.053627152
766,1.053362424
767,1.053027795
768,1.052829298
769,1.052642997
770,1.05240256
771,1.052432503
772,1.052119885
773,1.05161006
774,1.051298731
775,1.051198888
776,1.051088832
777,1.050766101
778,1.05014979
779,1.049829439
780,1.049721762
781,1.049651565
782,1.049484994
783,1.048996188
784,1.048531476
785,1.048326832
786,1.047733027
787,1.047321855
788,1.047137636
789,1.046945385
790,1.046614028
791,1.046340178
792,1.046213069
793,1.046146738
794,1.045746968
795,1.04532142
796,1.045020601
797,1.044461399
798,1.044099108
799,1.043816036
800,1.043414482
801,1.042990322
802,1.042934401
803,1.042942135
804,1.042433995
805,1.041765134
806,1.041228737
807,1.040904816
808,1.040677269
809,1.040285133
810,1.040044201
811,1.04003607
812,1.039730889
813,1.039412223
814,1.039101192
815,1.038768447
816,1.0384476
817,1.037976542
818,1.037344466
819,1.036695831
820,1.036461244
821,1.036084477
822,1.035520715
823,1.035167148
824,1.034777789
825,1.034657819
826,1.034692323
827,1.034042498
828,1.033800673
829,1.033665929
830,1.033296103
831,1.033293822
832,1.032816121
833,1.03204127
834,1.031444193
835,1.030904028
836,1.030426228
837,1.03007633
838,1.029857012
839,1.02912063
840,1.028796115
841,1.028833395
842,1.028171376
843,1.027658675
844,1.027175223
845,1.026688004
846,1.026515781
847,1.026453813
848,1.026210402
849,1.025651497
850,1.024980753
851,1.024497797
852,1.024241198
853,1.024059854
854,1.023521573
855,1.022996875
856,1.022774682
857,1.022809979
858,1.02152094
859,1.020631868
860,1.020469065
861,1.020013772
862,1.019946449
863,1.019652769
864,1.01909684
865,1.019015339
866,1.018787097
867,1.018147882
868,1.017286672
869,1.017102452
870,1.016693363
871,1.01618086
872,1.015783073
873,1.015424153